,city,city_id,lat,max_temp,cloudiness,country,date,humidity,long,wind_speed
0,talkha,347591,31.05,54.84,0,EG,1607227361,79,31.38,5.23
1,ushuaia,3833367,-54.8,53.6,40,AR,1607227261,71,-68.3,5.82
2,grindavik,3416888,63.84,32.0,90,IS,1607227362,82,-22.43,21.92
3,odienne,2283016,9.51,72.03,0,CI,1607227362,50,-7.57,3.51
4,matagami,6067747,49.75,10.4,90,CA,1607227362,92,-77.63,5.82
5,omaruru,3354540,-21.43,52.84,0,NA,1607227362,50,15.93,1.34
6,tawang,1254832,27.58,46.33,2,IN,1607227363,55,91.87,4.94
7,ovsyanka,1495797,55.96,12.2,40,RU,1607227124,78,92.55,8.95
8,bredasdorp,1015776,-34.53,64.4,100,ZA,1607227364,88,20.04,8.05
9,masuguru,878054,-11.37,75.69,0,TZ,1607227364,71,38.42,3.22
10,ramanuj ganj,1258731,23.8,73.47,0,IN,1607227364,35,83.7,0.43
11,bluff,2206939,-46.6,62.01,100,NZ,1607227364,59,168.33,5.99
12,busselton,2075265,-33.65,69.39,70,AU,1607227365,47,115.33,7.58
13,puerto ayora,3652764,-0.74,71.01,75,EC,1607227365,91,-90.35,3.0
14,flinders,6255012,-34.58,82.99,0,AU,1607227365,33,150.86,10.0
15,paamiut,3421193,61.99,32.31,100,GL,1607227365,94,-49.67,12.01
16,santa isabel do rio negro,3662489,-0.41,74.88,99,BR,1607227365,87,-65.02,0.34
17,kapaa,5848280,22.08,80.6,90,US,1607227118,69,-159.32,4.7
18,provideniya,4031574,64.38,17.35,0,RU,1607227366,83,-173.3,4.7
19,znamenskoye,1485020,57.13,9.09,100,RU,1607227366,95,73.83,5.12
20,beloha,1067565,-25.17,72.97,100,MG,1607227366,65,45.05,12.95
21,victoria,1819729,22.29,68.0,0,HK,1607227131,63,114.16,4.85
22,airai,1651810,-8.93,71.13,100,TL,1607227367,95,125.41,2.26
23,cape town,3369157,-33.93,62.6,0,ZA,1607227105,72,18.42,20.8
